start_location,end_location,time_road
AT12,AT13,2
AT12,AT21,7
AT12,AT22,4
AT12,AT31,3
AT12,AT32,5
AT12,AT33,7
AT12,AT34,9
AT12,BE10,15
AT12,BE21,15
AT12,BE22,14
AT12,BE23,15
AT12,BE24,15
AT12,BE25,16
AT12,BE31,15
AT12,BE32,15
AT12,BE33,14
AT12,BE34,14
AT12,BE35,15
AT12,BG31,16
AT12,BG32,19
AT12,BG33,21
AT12,BG34,20
AT12,BG41,18
AT12,BG42,19
AT12,CY00,43
AT12,CZ01,6
AT12,CZ02,6
AT12,CZ03,6
AT12,CZ04,8
AT12,CZ05,7
AT12,CZ06,4
AT12,CZ07,5
AT12,CZ08,6
AT12,DE11,10
AT12,DE12,10
AT12,DE13,12
AT12,DE14,10
AT12,DE21,7
AT12,DE22,5
AT12,DE23,6
AT12,DE24,8
AT12,DE25,7
AT12,DE26,9
AT12,DE27,8
AT12,DE30,11
AT12,DE40,11
AT12,DE50,14
AT12,DE60,15
AT12,DE71,10
AT12,DE72,11
AT12,DE73,11
AT12,DE80,13
AT12,DE91,12
AT12,DE92,13
AT12,DE93,14
AT12,DE94,15
AT12,DEA1,13
AT12,DEA2,13
AT12,DEA3,14
AT12,DEA4,13
AT12,DEA5,13
AT12,DEB1,11
AT12,DEB2,13
AT12,DEB3,11
AT12,DEC0,12
AT12,DED2,9
AT12,DED4,9
AT12,DED5,9
AT12,DEE0,10
AT12,DEF0,15
AT12,DEG0,10
AT12,DK01,19
AT12,DK02,19
AT12,DK03,18
AT12,DK04,19
AT12,DK05,20
AT12,EE00,30
AT12,EL11,21
AT12,EL12,18
AT12,EL13,20
AT12,EL14,20
AT12,EL21,21
AT12,EL22,26
AT12,EL23,23
AT12,EL24,22
AT12,EL25,26
AT12,EL30,24
AT12,EL41,32
AT12,EL42,34
AT12,EL43,39
AT12,ES11,35
AT12,ES12,31
AT12,ES13,29
AT12,ES21,27
AT12,ES22,27
AT12,ES23,28
AT12,ES24,26
AT12,ES30,30
AT12,ES41,31
AT12,ES42,30
