start_location,end_location,total_cost
AT11,UKI2,2678
AT11,UKJ1,2696
AT11,UKJ2,2636
AT11,UKJ3,2726
AT11,UKJ4,2542
AT11,UKK1,2765
AT11,UKK2,2776
AT11,UKK3,2980
AT11,UKK4,2913
AT11,UKL1,2949
AT11,UKL2,2869
AT11,UKM2,3319
AT11,UKM3,3260
AT11,UKM5,3520
AT11,UKM6,3718
AT11,UKN0,3736
AT12,AT11,221
AT12,AT12,165
AT12,AT13,144
AT12,AT21,579
AT12,AT22,363
AT12,AT31,379
AT12,AT32,572
AT12,AT33,817
AT12,AT34,1059
AT12,BE10,1743
AT12,BE21,1755
AT12,BE22,1653
AT12,BE23,1805
AT12,BE24,1768
AT12,BE25,1913
AT12,BE31,1749
AT12,BE32,1765
AT12,BE33,1629
AT12,BE34,1562
AT12,BE35,1689
AT12,BG31,1451
AT12,BG32,1588
AT12,BG33,1708
AT12,BG34,1732
AT12,BG41,1546
AT12,BG42,1639
AT12,CY00,3963
AT12,CZ01,430
AT12,CZ02,439
AT12,CZ03,400
AT12,CZ04,548
AT12,CZ05,461
AT12,CZ06,250
AT12,CZ07,327
AT12,CZ08,418
AT12,DE11,1011
AT12,DE12,1099
AT12,DE13,1262
AT12,DE14,1007
AT12,DE21,694
AT12,DE22,592
AT12,DE23,729
AT12,DE24,873
AT12,DE25,843
AT12,DE26,994
AT12,DE27,841
AT12,DE30,1031
AT12,DE40,998
AT12,DE50,1427
AT12,DE60,1521
AT12,DE71,1174
AT12,DE72,1240
AT12,DE73,1219
AT12,DE80,1344
AT12,DE91,1144
AT12,DE92,1231
AT12,DE93,1364
AT12,DE94,1495
AT12,DEA1,1468
AT12,DEA2,1394
AT12,DEA3,1466
AT12,DEA4,1363
AT12,DEA5,1398
AT12,DEB1,1261
AT12,DEB2,1360
AT12,DEB3,1142
AT12,DEC0,1262
AT12,DED2,737
AT12,DED4,812
AT12,DED5,862
AT12,DEE0,988
AT12,DEF0,1514
AT12,DEG0,1013
AT12,DK01,2146
AT12,DK02,2098
AT12,DK03,1985
AT12,DK04,2069
AT12,DK05,2226
AT12,EE00,1993
AT12,EL11,2108
AT12,EL12,1935
AT12,EL13,1997
AT12,EL14,2120
AT12,EL21,2234
AT12,EL22,2622
AT12,EL23,2414
AT12,EL24,2293
AT12,EL25,2618
AT12,EL30,2495
AT12,EL41,3054
AT12,EL42,3409
AT12,EL43,3743
AT12,ES11,3717
AT12,ES12,3423
AT12,ES13,3218
AT12,ES21,3114
AT12,ES22,3073
AT12,ES23,3138
AT12,ES24,3192
AT12,ES30,3556
AT12,ES41,3397
AT12,ES42,3616
AT12,ES43,3735
AT12,ES51,2983
AT12,ES52,3592
AT12,ES53,4075
AT12,ES61,4060
AT12,ES62,3697
AT12,ES63,4515
AT12,ES64,4786
AT12,ES70,9175
AT12,FI19,3261
AT12,FI1B,2988
AT12,FI1C,3165
AT12,FI1D,3659
AT12,FI20,3355
AT12,FR10,2118
AT12,FR21,1654
AT12,FR22,1955
AT12,FR23,2278
AT12,FR24,2221
AT12,FR25,2496
AT12,FR26,1894
AT12,FR30,1830
AT12,FR41,1406
AT12,FR42,1279
AT12,FR43,1577
AT12,FR51,2783
AT12,FR52,2894
AT12,FR53,2638
AT12,FR61,2789
AT12,FR62,2898
AT12,FR63,2372
AT12,FR71,2058
AT12,FR72,2239
AT12,FR81,2563
AT12,FR82,2105
AT12,FR83,2360
AT12,HR03,959
AT12,HR04,571
AT12,HU10,553
AT12,HU21,407
AT12,HU22,260
AT12,HU23,506
AT12,HU31,710
AT12,HU32,862
AT12,HU33,768
AT12,IE01,3723
